Part_Brand_id,Part Brand Name,Part_Brand_name_Tags,desc,Part_Brand_Type,Oem_id
1,behr hella service,behr hella service,-,2,1
2,mgp,mgp,-,1,1
3,bosch,bosch,-,2,1
4,purolator,purolator,-,2,1
5,ajusa,ajusa,-,2,1
6,victor reinz,victor reinz,-,2,1
7,elring,elring,-,2,1
8,mahle,mahle,-,2,1
9,remsons,remsons,-,2,1
10,corteco,corteco,-,2,1
11,ae,ae,-,2,1
12,zip,zip,-,2,1
13,facet,facet,-,2,1
14,cv psh,cv psh,-,2,1
15,friesen,friesen,-,2,1
16,toyata /lexus,toyata /lexus,-,2,1
17,lucus tvs,lucus tvs,-,2,1
18,uno minda,uno minda,-,2,1
19,fae,fae,-,2,1
20,mfc,mfc,-,2,1
21,bermi,bermi,-,2,1
22,delphi,delphi,-,2,1
23,valeo,valeo,-,2,1
24,janmor,janmor,-,2,1
25,ashuki,ashuki,-,2,1
26,vaico,vaico,-,2,1
27,ocap,ocap,-,2,1
28,trw,trw,-,2,1
29,original imperium,original imperium,-,2,1
30,optimal,optimal,-,2,1
31,elstock,elstock,-,2,1
32,nk,nk,-,2,1
33,sbs,sbs,-,2,1
35,monroe,monroe,-,2,1
36,gabriel,gabriel,-,2,1
37,lemforder,lemforder,-,2,1
38,quinton hazell,quinton hazell,-,2,1
39,moog,moog,-,2,1
40,lucas - tvs,lucas - tvs,-,2,1
41,bremi,bremi,-,2,1
42,ips parts,ips parts,-,2,1
43,herth+buss jakoparts,herth+buss jakoparts,-,2,1
44,delco remy,delco remy,-,2,1
45,powermax,powermax,-,2,1
46,eurotec,eurotec,-,2,1
47,alanko,alanko,-,2,1
48,edr,edr,-,2,1
50,toyota / lexus,toyota / lexus,-,2,1
51,era,era,-,2,1
52,suzuki / maruti,suzuki / maruti,-,2,1
53,pex,pex,-,2,1
54,standard,standard,-,2,1
55,glaser,glaser,-,2,1
56,japanparts,japanparts,-,2,1
57,ashika,ashika,-,2,1
58,japko,japko,-,2,1
59,fai auto parts,fai auto parts,-,2,1
60,bga,bga,-,2,1
61,freccia,freccia,-,2,1
62,ipsa,ipsa,-,2,1
63,mahle original,mahle original,-,2,1
64,perfect circle,perfect circle,-,2,1
65,glyco,glyco,-,2,1
66,nps,nps,-,2,1
67,sachs,sachs,-,2,1
68,elofic,elofic,-,2,1
69,denckermann,denckermann,-,2,1
70,calorstat by vernet,calorstat by vernet,-,2,1
71,metelli,metelli,-,2,1
73,payen,payen,-,2,1
74,goetze,goetze,-,2,1
76,denso,denso,-,2,1
77,beru,beru,-,2,1
78,febi bilstein,febi bilstein,-,2,1
79,sidat,sidat,-,2,1
80,elwis royal,elwis royal,-,2,1
81,bosal,bosal,-,2,1
82,spark,spark,-,2,1
83,k&n filters,k&n filters,-,2,1
84,alco filter,alco filter,-,2,1
85,asmet,asmet,-,2,1
86,walker,walker,-,2,1
87,fonos,fonos,-,2,1
88,fa,fa,-,2,1
89,kraft automotive,kraft automotive,-,2,1
90,ernst,ernst,-,2,1
91,mts,mts,-,2,1
92,imasaf,imasaf,-,2,1
93,asso,asso,-,2,1
94,veneporte,veneporte,-,2,1
95,sigam,sigam,-,2,1
96,lambda,lambda,-,2,1
97,swag,swag,-,2,1
98,blue print,blue print,-,2,1
99,hella,hella,-,2,1
100,van wezel,van wezel,-,2,1
101,thermotec,thermotec,-,2,1
102,aks dasis,aks dasis,-,2,1
103,calorstat by verne,calorstat by verne,-,2,1
104,nipparts,nipparts,-,2,1
105,gates,gates,-,2,1
106,vemo,vemo,-,2,1
107,herth+buss jakopar,herth+buss jakopar,-,2,1
109,dayco,dayco,-,2,1
110,contitech,contitech,-,2,1
111,mapco,mapco,-,2,1
112,skf,skf,-,2,1
113,hepu,hepu,-,2,1
114,snr,snr,-,2,1
115,ina,ina,-,2,1
116,ruville,ruville,-,2,1
117,dolz,dolz,-,2,1
118,airtex,airtex,-,2,1
119,aisin,aisin,-,2,1
120,spidan,spidan,-,2,1
121,kavo parts,kavo parts,-,2,1
122,meyle,meyle,-,2,1
123,tvs girling,tvs girling,-,2,1
124,ert,ert,-,2,1
125,autofren seinsa,autofren seinsa,-,2,1
126,girling,girling,-,2,1
127,brembo,brembo,-,2,1
128,metzger,metzger,-,2,1
129,triscan,triscan,-,2,1
130,fte,fte,-,2,1
131,cifam,cifam,-,2,1
132,herth+buss jakopart,herth+buss jakopart,-,2,1
133,farcom,farcom,-,2,1
134,fag,fag,-,2,1
135,a.b.s.,a.b.s.,-,2,1
136,autokit,autokit,-,2,1
137,bta,bta,-,2,1
138,dri,dri,-,2,1
139,general ricambi,general ricambi,-,2,1
140,abe,abe,-,2,1
141,remsa,remsa,-,2,1
142,frenkit,frenkit,-,2,1
143,magnum technology,magnum technology,-,2,1
144,kyb,kyb,-,2,1
145,first line,first line,-,2,1
146,borg & beck,borg & beck,-,2,1
147,stellox,stellox,-,2,1
148,sheller,sheller,-,2,1
149,rane madras limite,rane madras limite,-,2,1
150,talbros,talbros,-,2,1
151,sidem,sidem,-,2,1
152,protechnic,protechnic,-,2,1
153,kawe,kawe,-,2,1
154,lpr,lpr,-,2,1
155,ate,ate,-,2,1
156,ask,ask,-,2,1
157,ipd,ipd,-,2,1
158,frap,frap,-,2,1
159,exedy,exedy,-,2,1
160,luk,luk,-,2,1
161,malo,malo,-,2,1
162,555,555,-,2,1
163,888,888,-,2,1
164,abesta,abesta,-,2,1
165,acdelco,acdelco,-,2,1
166,acp,acp,-,2,1
167,adriauto,adriauto,-,2,1
168,advics,advics,-,2,1
169,agc,agc,-,2,1
170,air cab,air cab,-,2,1
171,air green,air green,-,2,1
172,akebono,akebono,-,2,1
173,alca,alca,-,2,1
174,alkar,alkar,-,2,1
175,al-ko,al-ko,-,2,1
176,allied nippon,allied nippon,-,2,1
